Register_No,Name,Department,Subject_1,Mark_1,Subject_2,Mark_2,Subject_3,Mark_3,Attendance_%,Current_GPA
10001,Student_1,MECH,Thermodynamics,56,Fluid Mechanics,92,Robotics,94,88,8.07
10002,Student_2,MECH,Thermodynamics,76,Fluid Mechanics,91,Robotics,55,86,7.4
10003,Student_3,ECE,VLSI Design,70,Digital Electronics,54,Signal Processing,40,65,5.47
10004,Student_4,IT,Data Science,67,Cloud Computing,90,Web Frameworks,72,70,7.63
10005,Student_5,ECE,VLSI Design,53,Digital Electronics,83,Signal Processing,89,89,7.5
10006,Student_6,MECH,Thermodynamics,41,Fluid Mechanics,69,Robotics,72,66,6.07
10007,Student_7,MECH,Thermodynamics,53,Fluid Mechanics,79,Robotics,50,73,6.07
10008,Student_8,IT,Data Science,93,Cloud Computing,84,Web Frameworks,42,69,7.3
10009,Student_9,ECE,VLSI Design,59,Digital Electronics,66,Signal Processing,78,90,6.77
10010,Student_10,IT,Data Science,63,Cloud Computing,47,Web Frameworks,47,85,5.23
10011,Student_11,MECH,Thermodynamics,51,Fluid Mechanics,97,Robotics,72,98,7.33
10012,Student_12,IT,Data Science,96,Cloud Computing,50,Web Frameworks,44,76,6.33
10013,Student_13,IT,Data Science,61,Cloud Computing,43,Web Frameworks,67,86,5.7
10014,Student_14,MECH,Thermodynamics,90,Fluid Mechanics,73,Robotics,51,78,7.13
10015,Student_15,MECH,Thermodynamics,43,Fluid Mechanics,40,Robotics,77,78,5.33
10016,Student_16,EEE,Power Systems,44,Control Theory,62,Electric Machines,89,73,6.5
10017,Student_17,IT,Data Science,99,Cloud Computing,86,Web Frameworks,49,89,7.8
10018,Student_18,EEE,Power Systems,87,Control Theory,56,Electric Machines,79,75,7.4
10019,Student_19,EEE,Power Systems,78,Control Theory,72,Electric Machines,41,77,6.37
10020,Student_20,MECH,Thermodynamics,72,Fluid Mechanics,93,Robotics,51,98,7.2
10021,Student_21,IT,Data Science,82,Cloud Computing,62,Web Frameworks,40,76,6.13
10022,Student_22,EEE,Power Systems,69,Control Theory,85,Electric Machines,56,73,7.0
10023,Student_23,MECH,Thermodynamics,87,Fluid Mechanics,89,Robotics,44,79,7.33
10024,Student_24,EEE,Power Systems,63,Control Theory,86,Electric Machines,47,79,6.53
10025,Student_25,ECE,VLSI Design,69,Digital Electronics,84,Signal Processing,67,81,7.33
10026,Student_26,MECH,Thermodynamics,81,Fluid Mechanics,58,Robotics,75,72,7.13
10027,Student_27,CSE,Data Science,92,Operating Systems,40,Cyber Security,47,81,5.97
10028,Student_28,MECH,Thermodynamics,66,Fluid Mechanics,64,Robotics,50,84,6.0
10029,Student_29,ECE,VLSI Design,84,Digital Electronics,84,Signal Processing,64,76,7.73
10030,Student_30,IT,Data Science,47,Cloud Computing,93,Web Frameworks,55,65,6.5
10031,Student_31,EEE,Power Systems,87,Control Theory,87,Electric Machines,91,87,8.83
10032,Student_32,ECE,VLSI Design,43,Digital Electronics,64,Signal Processing,87,91,6.47
10033,Student_33,MECH,Thermodynamics,74,Fluid Mechanics,51,Robotics,64,81,6.3
10034,Student_34,IT,Data Science,50,Cloud Computing,75,Web Frameworks,99,89,7.47
10035,Student_35,IT,Data Science,90,Cloud Computing,91,Web Frameworks,82,90,8.77
10036,Student_36,IT,Data Science,81,Cloud Computing,67,Web Frameworks,46,95,6.47
10037,Student_37,MECH,Thermodynamics,91,Fluid Mechanics,50,Robotics,51,81,6.4
10038,Student_38,ECE,VLSI Design,54,Digital Electronics,74,Signal Processing,65,73,6.43
10039,Student_39,ECE,VLSI Design,67,Digital Electronics,73,Signal Processing,57,72,6.57
10040,Student_40,EEE,Power Systems,54,Control Theory,65,Electric Machines,55,91,5.8
10041,Student_41,MECH,Thermodynamics,93,Fluid Mechanics,73,Robotics,96,79,8.73
10042,Student_42,CSE,Data Science,41,Operating Systems,79,Cyber Security,61,95,6.03
10043,Student_43,MECH,Thermodynamics,85,Fluid Mechanics,53,Robotics,94,92,7.73
10044,Student_44,ECE,VLSI Design,45,Digital Electronics,88,Signal Processing,73,73,6.87
10045,Student_45,MECH,Thermodynamics,64,Fluid Mechanics,58,Robotics,49,69,5.7
10046,Student_46,MECH,Thermodynamics,79,Fluid Mechanics,69,Robotics,70,68,7.27
10047,Student_47,EEE,Power Systems,72,Control Theory,72,Electric Machines,61,80,6.83
10048,Student_48,CSE,Data Science,53,Operating Systems,65,Cyber Security,90,65,6.93
10049,Student_49,ECE,VLSI Design,76,Digital Electronics,85,Signal Processing,83,94,8.13
10050,Student_50,EEE,Power Systems,73,Control Theory,80,Electric Machines,88,67,8.03
10051,Student_51,CSE,Data Science,54,Operating Systems,97,Cyber Security,44,87,6.5
10052,Student_52,CSE,Data Science,63,Operating Systems,53,Cyber Security,57,94,5.77
10053,Student_53,CSE,Data Science,55,Operating Systems,62,Cyber Security,73,90,6.33
10054,Student_54,CSE,Data Science,59,Operating Systems,88,Cyber Security,93,84,8.0
10055,Student_55,IT,Data Science,54,Cloud Computing,41,Web Frameworks,87,98,6.07
10056,Student_56,ECE,VLSI Design,45,Digital Electronics,63,Signal Processing,42,99,5.0
10057,Student_57,IT,Data Science,47,Cloud Computing,74,Web Frameworks,67,67,6.27
10058,Student_58,IT,Data Science,63,Cloud Computing,94,Web Frameworks,53,74,7.0
10059,Student_59,ECE,VLSI Design,95,Digital Electronics,91,Signal Processing,74,74,8.67
10060,Student_60,ECE,VLSI Design,80,Digital Electronics,85,Signal Processing,86,99,8.37
10061,Student_61,IT,Data Science,94,Cloud Computing,72,Web Frameworks,43,96,6.97
10062,Student_62,EEE,Power Systems,40,Control Theory,68,Electric Machines,79,73,6.23
10063,Student_63,IT,Data Science,77,Cloud Computing,51,Web Frameworks,54,87,6.07
10064,Student_64,ECE,VLSI Design,82,Digital Electronics,83,Signal Processing,44,92,6.97
10065,Student_65,EEE,Power Systems,41,Control Theory,83,Electric Machines,89,99,7.1
10066,Student_66,MECH,Thermodynamics,84,Fluid Mechanics,50,Robotics,40,78,5.8
10067,Student_67,EEE,Power Systems,93,Control Theory,70,Electric Machines,64,95,7.57
10068,Student_68,CSE,Data Science,41,Operating Systems,95,Cyber Security,44,98,6.0
10069,Student_69,IT,Data Science,83,Cloud Computing,82,Web Frameworks,82,69,8.23
10070,Student_70,EEE,Power Systems,81,Control Theory,56,Electric Machines,70,97,6.9
10071,Student_71,EEE,Power Systems,42,Control Theory,55,Electric Machines,54,86,5.03
10072,Student_72,ECE,VLSI Design,97,Digital Electronics,43,Signal Processing,53,94,6.43
10073,Student_73,IT,Data Science,57,Cloud Computing,95,Web Frameworks,50,72,6.73
10074,Student_74,CSE,Data Science,54,Operating Systems,98,Cyber Security,65,98,7.23
10075,Student_75,MECH,Thermodynamics,81,Fluid Mechanics,75,Robotics,41,85,6.57
10076,Student_76,EEE,Power Systems,67,Control Theory,65,Electric Machines,50,87,6.07
10077,Student_77,MECH,Thermodynamics,87,Fluid Mechanics,82,Robotics,93,89,8.73
10078,Student_78,IT,Data Science,49,Cloud Computing,62,Web Frameworks,57,87,5.6
10079,Student_79,CSE,Data Science,62,Operating Systems,66,Cyber Security,51,66,5.97
10080,Student_80,CSE,Data Science,78,Operating Systems,54,Cyber Security,98,96,7.67
10081,Student_81,MECH,Thermodynamics,52,Fluid Mechanics,46,Robotics,65,79,5.43
10082,Student_82,IT,Data Science,41,Cloud Computing,96,Web Frameworks,45,67,6.07
10083,Student_83,CSE,Data Science,77,Operating Systems,95,Cyber Security,96,90,8.93
10084,Student_84,IT,Data Science,51,Cloud Computing,83,Web Frameworks,77,91,7.03
10085,Student_85,CSE,Data Science,68,Operating Systems,69,Cyber Security,56,81,6.43
10086,Student_86,ECE,VLSI Design,70,Digital Electronics,85,Signal Processing,82,98,7.9
10087,Student_87,EEE,Power Systems,85,Control Theory,85,Electric Machines,57,65,7.57
10088,Student_88,EEE,Power Systems,79,Control Theory,53,Electric Machines,69,73,6.7
10089,Student_89,EEE,Power Systems,61,Control Theory,86,Electric Machines,45,92,6.4
10090,Student_90,EEE,Power Systems,98,Control Theory,56,Electric Machines,79,92,7.77
10091,Student_91,EEE,Power Systems,86,Control Theory,49,Electric Machines,87,98,7.4
